Method	Accuracy
----------------------------------------------------------------------
Random Stratified	0.8650 ± 0.0035
Run 1: Equal K-Means	0.8972
Run 2: Error-Driven	0.9030
Run 3: Iterative Error	0.8995
Run 5: Selective Hybrid	0.8977

======================================================================
Per-Class Accuracies
======================================================================
Class	Random Stratified	Run 1: Equal K-Means	Run 2: Error-Driven	Run 3: Iterative Error	Run 5: Selective Hybrid
Class 0	0.9649 ± 0.0043	0.9724	0.9520	0.9571	0.9582
Class 1	0.9905 ± 0.0012	0.9947	0.9859	0.9894	0.9515
Class 2	0.7970 ± 0.0152	0.8517	0.8740	0.8702	0.8692
Class 3	0.8606 ± 0.0177	0.8782	0.8921	0.8871	0.8931
Class 4	0.8461 ± 0.0096	0.8737	0.8931	0.8727	0.8778
Class 5	0.8242 ± 0.0225	0.8565	0.8913	0.8868	0.8913
Class 6	0.9102 ± 0.0097	0.9436	0.9238	0.9217	0.9290
Class 7	0.8238 ± 0.0187	0.8434	0.8735	0.8551	0.8687
Class 8	0.7840 ± 0.0183	0.8624	0.8655	0.8614	0.8460
Class 9	0.8323 ± 0.0167	0.8831	0.8692	0.8831	0.8870
